,answer,clue,couple_occurencies
103,MOOSEMOUSSE,Bullwinkle's dessert?,3
104,MUCKETYMUCK,Big cheese,3
105,MUDSLINGERS,Verbal discreditors,3
106,NATKINGCOLE,Mona Lisa singer,3
107,NICKELODEON,Early jukebox,4
108,NOBODYSFOOL,1986 Rosanna Arquette film,3
109,OLDFAITHFUL,Yellowstone attraction,3
110,OLIVEBRANCH,Peace offering,13
111,OURMANFLINT,1966 Coburn film,3
112,OUTFORAWALK,WHERE STROLLERS ARE?,1
113,OVERABARREL,WHERE OPEC HAS US?,1
114,PALMREADERS,Fortunetellers,3
115,PARTONSHOTS,Singer Dolly's photos?,3
116,PEGOMYHEART,Harmonicats hit,3
117,PERIODPIECE,Item of historical significance,3
118,PETITEFLEET,Two rowboats?,3
119,PICKUPTRUCK,It has a bed,3
120,PIECEOFCAKE,Cinch,5
121,PIEINTHESKY,Utopia,4
122,PIPERLAURIE,"No, she was in ""Carrie""",3
123,PITTEDPRUNE,Part of Brad's snack,3
124,POINTSPREAD,Oddsmaker's figure,3
125,PONYEXPRESS,Early US carrier,3
126,POODLESKIRT,What Fifi would wear to a '50s dance?,3
127,POPAWHEELIE,Show off on the bike,4
128,POSTITNOTES,Stick-ums,1
129,PROSANDCONS,They're often weighed,3
130,QUARTERBACK,Gridiron signal caller,4
131,QUICKSILVER,Mercury,5
132,REALSWINGER,Genuine duffer?,3
133,REPEATBLEAT,Baa-baa?,3
134,RETROROCKET,NASA decelerator,3
135,ROBERTFROST,Mending Wall poet,3
136,ROBERTWHITE,Formal bird?,3
137,ROCKANDROLL,Berry's genre,3
138,ROSENCRANTZ,__ and Guildenstern are Dead,4
139,RUBBERSTAMP,Postage stretcher?,1
140,RUBYTUESDAY,Rolling Stones gem,2
141,RUNOUTOFGAS,Suffer a highway annoyance,3
142,RUSSIANBEAR,"Vodka, creme de cacao, and heavy cream",3
143,SANDESTDOWN,Honest?,2
144,SECONDCLASS,Not of the highest quality,1
145,SEEMSPEACHY,MORE OF THE COMMENT,3
146,SKYEWRITING,Ione's diary entry?,3
147,SMALLCHANGE,Chicken feed,4
148,SOLDERINGFE,Stained-glass artist's need,3
149,SPANISHRICE,South-of-the-border dish,3
150,SPREADSHEET,"Quattro Pro, for one",3
151,STEMTHETIDE,Resist,3
152,STOOLPIGEON,Tattler,3
153,STRATIFYING,Forming layers,3
154,SUNNYSIDEUP,1929 Janet Gaynor film,4
155,SUPERSUNDAY,Big day in football,3
156,SUTTERSMILL,Gold-discovery site,3
157,SWEATYPALMS,"First-date affliction, perhaps",3
158,SWEETHEARTS,Honeys,3
159,SWISSCHEESE,Ham sandwich add-on,3
160,TAICHICHUAN,Gentlest martial art,1
161,TENURETRACK,Type of college position,3
162,THAICUISINE,Dining choice,1
163,THECISCOKID,Diablo?,3
164,THEGONGSHOW,Tasteless '70s fare,1
165,THEMILKYWAY,Sky lights?,3
166,THEPYRAMIDS,Resting places of Khufu and others,1
167,THESPECTRUM,Philadelphia arena,2
168,THETRASHMEN,Surfin' Bird band of the '60s,3
169,THIRDDEGREE,Intensive questioning,2
170,TIGHTLIPPED,Reticent,3
171,TIMESSQUARE,Manhattan attraction,3
172,TOASTEROVEN,Bagel browner,3
173,TONYORLANDO,Pop vocalist/city slicker?,3
174,TRAMPOLINER,Variety show staple,3
175,TRIALDOCKET,Judge's agenda,3
176,UNDERACLOUD,WHERE JOE BTFSPLK IS?,1
177,UTAHTOOMUCH,Pipe down! in Salt lake City,3
178,VATICANCITY,Swiss Guard's state,3
179,VETERANSDAY,Monday event,3
180,VICTORBORGE,Comedy in Music star,3
181,WAYNESWORLD,1992 Dana Carvey film,3
182,WEDDINGRING,"Band, of sorts",3
183,WEEDWHACKER,Gardening gismo,1
184,WEEDWHACKER,Lawn gadget,3
185,WELSHRABBIT,Dish with melted cheese,3
186,WILDETURKEY,Subpar play by Oscar?,3
187,WILLIAMFOLD,Formal wallet?,3
188,WINONARYDER,Alien Resurrection star,3
189,WORKMANSHIP,Artisan's skill,5
190,WORLDSERIES,Baseball event,3
191,XCHROMOSOME,It occurs in pairs in females,4
192,YOURESOVAIN,Song by Carly,3
193,ACTSTHEPART,Puts up a false front,2
194,ADELIEBREAD,Three squares for the penguin?,1
195,ADELIEHABIT,What the penguin should break if it's bad?,1
196,ALANPARSONS,"__ Project (""Games People Play"" band)",3
197,ALBERTBFALL,Teapot Dome scandal figure,2
198,ALLISBRIGHT,End of the refrain,2
199,APRILDANCER,"Powers role in ""The Girl from U.N.C.L.E.""",1
200,ASTARISBORN,1954 Judy Garland film,3
201,ATOMSMASHER,Physics-lab device,3
202,BACHSOFFICE,"Where ""The Well-Tempered Clavier"" was written?",3
203,BACKUPLIGHT,"Reverse lamp, in the U.S.",1
204,BACONBRAKIN,Actor approaching a red light?,3
205,BARANDGRILL,Diner,1
206,BEDROOMEYES,Come-hither look,6
207,BELLBOTTOMS,'60s craze,4
208,BENGALTIGER,Predator of India,1
209,BETTYRUBBLE,Character on 16A,3
210,BITETHEDUST,Fall to the ground,1
211,BLACKBOTTOM,Dance tune of the '20s,2
212,BLINDASABAT,Sightless,1
213,BLOODHOUNDS,Hunting dogs,1
214,BLUBBERHEAD,Not a rocket scientist,3
215,BOBANDWEAVE,Boxer's moves,2
216,BORSCHTBELT,Comic's circuit,1
217,BRAHMSMEDAL,"Prize for a superb ""German Requiem"" performance?",3
218,BROKENARROW,'50s Lupton-Ansara western,2
219,BRONCBUSTER,Horse-breaker,2
220,CANDLESTICK,Clue weapon,2
221,CANDYHEARTS,Tasty organs?,2
222,CANDYSTRIPE,Peppermint pattern,1
223,CANINETEETH,Dentist's concern,2
224,CATHYSYACHT,Getaway for Guisewite?,1
225,CHARLESTOWN,Bunker Hill site,1
226,CHEAPTHRILL,Short-lived event,1
227,CHEVYBLAZER,Cherokee rival,1
228,CHILLINGOUT,"Relaxing, informally",2
229,CHITARIVERA,"She played a friend of ""Sweet Charity""",3
230,CHOLESTEROL,"When it's high, you could be in trouble",1
231,CHOWDERHEAD,Numbskull,5
232,CLIVEBARKER,Sacrament author,3
233,CLOSETDRAMA,"Play meant for reading, not performing",2
234,CLOSETEATER,"Moth, perhaps?",3
235,COALESCENCE,Growing together,3
236,COLDSTORAGE,"Place for furs, perhaps",2
237,COMETOTERMS,Agree,6
238,COMMONSTOCK,Horses and cows,1
239,CONANSCANON,O'Brien's law?,1
240,CONTACTLENS,Something to be careful with,2
241,COPPERFIELD,Dickensian protagonist,3
242,CORNCOBPIPE,Snowman's accessory,2
243,COUCHPOTATO,TV addict,8
244,COURTJESTER,Fool's cap wearer,3
245,CRACKLEWARE,Type of glazed pottery,4
246,CRASHCYMBAL,Drum kit essential,2
247,CUPIDSARROW,Love missile?,2
248,CUTOFFPOINT,PRON,2
249,DEACONJONES,NFL Hall of Fame lineman,3
250,DOLLYPARTON,"She ran the ""Best Little Whorehouse in Texas""",3
251,DONALDTRUMP,Card-playing real-estate developer?,3
252,DONNASUMMER,Disco hitmaker of the '70s,2
253,DOUBLESTOPS,Cello maneuvers,1
254,DOWNTOEARTH,Realistic,6
255,EDDIEFISHER,Michael Todd follower,3
256,ELIZABETHII,Philip Mountbatten's missus,2
257,ELLENYELLIN,Sitcom star on a tirade?,1
258,ELLERYQUEEN,Card-playing detective?,3
259,FASTFORWARD,VCR feature,3
260,FEDERALCASE,Big deal,4
261,FILLIEPHANS,Rooters at the Vet?,1
262,FLAWOFMOSES,Biblical defect?,3
263,FLIGHTHOUSE,Airport hangar?,3
264,FLINTSTONES,"Cartoon classic, with ""The""",3
265,FLIPSERVICE,Cooking at IHOP?,3
266,FLOSSLEADER,Top name in dental products?,3
267,FORRESTGUMP,Oscar winner in 1994,2
268,FORTHEFOOLS,More of the comment,1
269,FOTOPHINISH,Down to the wire?,2
270,FREDCOUPLES,1992 Masters winner,4
271,FULLGASTANK,Interstate security,2
272,GASTRONOMES,Lovers of good food,3
273,GEORGEBURNS,Noted cigar-smoker,1
274,GILDARADNER,Funny lady,2
275,GIVEMEARING,Call me,1
276,GORDIANKNOT,Real toughie,3
277,GOUPINSMOKE,End unsuccessfully,3
278,GRANDCANYON,Extended vacation spot?,1
279,GREERGARSON,Mrs. Miniver portrayer,3
280,HAPPYENDING,Y,2
281,HENRYLOUISM,"Author of ""In Defense of W""",1
282,HENRYLOUISM,"Author of ""In defense of W""",1
283,HIDEANDSEEK,Children's game,6
284,HOLLYHUNTER,Oscar winner in 1993,2
285,HONEYSUCKLE,Fragrant vine,2
286,HORSECOURSE,Track,1
287,HPLOVECRAFT,The Dunwich Horror author,2
288,HUNTANDPECK,"STALK, KISS",3
289,HUNTANDPECK,"Type with two fingers, perhaps",3
290,HUSHPUPPIES,Shoe style,1
291,ICEBREAKERS,"Opening remarks, perhaps",3
292,ICYSIDEWALK,It's slippery,2
293,IFIHADAHIFI,Penniless audiophile's lament?,2
294,ILLMANNERED,Impolite,2
295,ILLUSTRATOR,"Norman Rockwell, for example",1
296,INDIANOCEAN,One of a noted septad,1
297,INSIDETRADE,Organ transplant?,1
298,INTOLERANCE,D. W. Griffith classic,1
299,JUNEALLYSON,The Shrike actress,1
300,JUNGLEBELLS,Tarzan's favorite Christmas song?,1
301,KARATECHOPS,Dojo blows,3
302,KCABGNIKOOL,Reminiscing,3
303,KENNELSOUND,BARK,3
304,KISSANDTELL,Reveal confidential information,2
305,KITCHENSINK,"Long-list exclusion, perhaps",3
306,KSATEHTOTPU,Able,3
307,LAKEONTARIO,Part of HOMES,1
308,LEARNEDHAND,Card-playing jurist?,3
309,LEGSDIAMOND,Card-playing singer?,3
310,LENSOPENING,L,2
311,LITTLEWOMEN,Alcott novel,2
312,LORETTASWIT,M*A*S*H actress,1
313,LOVEMETENOR,Entreaty from a Pavarotti admirer?,3
314,LUCILLEBALL,Wildcat star,3
315,MAMMOTHCAVE,Extended vacation spot?,1
316,MERLEOBERON,Wuthering Heights actress,1
317,MEXICANWOLF,Predator south of the border,1
318,MIRRORIMAGE,Reflection,3
319,MUDDYWATERS,Famed blues guitarist,1
320,MYRONFLOREN,Lawrence Welk's accordionist,1
321,NETINCOMEUP,Business report from Acme Tennis Supply?,3
322,NEWBORNBABY,Something to be careful with,2
323,NICKELODEON,Popular cable channel,3
324,NOLANROLLIN,Pitcher doing somersaults?,3
325,NORMASMANOR,Home of Miss Desmond?,1
326,NOWANDAGAIN,From time to time,2
327,NUTCRACKERS,Squirrels' avocation?,3
328,ODDSANDENDS,"LIKELIHOOD, RESULTS",3
329,OFTENENOUGH,From time to time,1
330,OLIVERSTONE,Hard guy director,1
331,ONETWOTHREE,Tester's numbers,3
332,ONONESGUARD,Wary,3
333,OVERTHEHILL,Washed up,3
334,PAPERPUSHER,Bureaucrat,2
335,PARELORENTZ,Motion picture director,1
336,PARLORGRAND,Piano model,2
337,PARLORTRICK,Bit of magic,3
338,PHILHARTMAN,Canada-born 1975-1994 SNLer,1
339,PHILSILVERS,Funny guy,2
340,PIEINTHESKY,Promise of a future reward,2
341,PILEDRIVERS,Heavy construction gear,3
342,PINCHHITTER,Stand-in,2
343,PIPERLAURIE,Carrie actress,6
344,PITCHERVIDA,BLUE,3
345,PLAYDOUBLES,Join a court quartet,3
346,PLUMPUDDING,Treat for David Copperfield?,1
347,PODOFWHALES,Sea group,2
348,POPULARSONG,Top 40 entry,2
349,POWERLIFTER,Iron picker-upper,2
350,PROSANDCONS,"EXPERTS, PRISONERS",3
351,PUCKERINGUP,Prelude to a kiss?,3
352,PUTONTHEDOG,Act extravagantly,1
353,RACKETSQUAD,Early '50s crime drama,3
354,RAISONDETRE,It's WHY,3
355,RAMBLINROSE,"Nat ""King"" Cole tune",3
356,RAPMUSICIAN,"Coolio, for one",2
357,RASHCOURSES,Dermatologists' classes?,2
358,RECORDSALES,Business report from Acme Sound Studios?,3
359,REFRIGERATE,Chill,4
360,RESTASSURED,Don't worry,1
361,RIMEFIGHTER,Frost-scraping pro?,2
362,ROBERTBLOCH,Psycho author,2
363,ROCKERLEWIS,HUEY,2
364,SADIESIDEAS,Impressions of Miss Thompson?,1
365,SAFECRACKER,Yegg,7
366,SAILINGBOAT,BARK,3
367,SANDYDUNCAN,"TV's ""Funny Face"" star",1
368,SANTACLAUSE,Tim Allen's favorite Christmas role?,1
369,SEVENELEVEN,Convenience numbers,3
370,SHARONSTONE,"Hard gal who starred in ""Basic Instinct""",1
371,SHERMANTANK,Formidable vehicle,3
372,SHORTCHANGE,ALTE,1
373,SHOUTORDERS,BARK,3
374,SILENTNIGHT,Start of a seasonal refrain,2
375,SILVERHEELS,Tonto portrayer Jay,3
376,SILVERSPURS,Oater accessories,2
377,SIMONRHYMIN,Playwright emulating Marky Mark?,3
378,SINGERKARYN,WHITE,3
379,SISTERKENNY,1946 Russell/Jagger movie,1
380,SKINTHESHIN,BARK,3
381,SLICEDBREAD,Great things are often compared to it,2
382,SMARTCOOKIE,Clever sort,5
383,SNOWEDUNDER,Swamped with work,4
384,SONOFSINBAD,1955 Robertson/Price movie,1
385,SOPHIALOREN,Two Women actress,1
386,SPAREMERAPS,Hip-hop hater's comment?,2
387,SPRINGFIELD,WWI rifle,2
388,SQUEEZEPLAY,Edge someone out,2
389,STAGEASCENE,"Pull off a publicity stunt, perhaps",2
390,STARTEDOVER,Returned to the top,2
391,STARTTHEDAY,Rise and shine,1
392,STEPHENKING,Nightmares and Dreamscapes author,2
393,STICKLEBACK,Spiny swimmer,3
394,STRONGLOCKS,Home security,2
395,STUMPSPEECH,Election-time oration,3
396,SUITOFARMOR,Iron clothes,3
397,SUPERBOWLII,Starr starred in it,2
398,SUTHERLANDS,Canadians Kiefer and Donald,1
399,SWARMOFBEES,Apiary group,2
400,SWEATEQUITY,Small-business owner's investment,3
401,TABLEHOPPER,Restaurant gadabout,6
402,TABLESPOONS,Dosage amounts,3
403,TAKEAPOWDER,Leave without notice,2
404,TAMABLENESS,Circus lion's quality,3
405,THANKSAHEAP,Phrase of sarcastic gratitude,3
406,THEBIGAPPLE,New York City,4
407,THEBIGCHILL,Radicals-turned-yuppies film of 1983,2
408,THEMACARENA,'90s craze,4
409,THERESTOFUS,More of the comment,1
410,THINASARAIL,Skinny,1
411,THREEINIOIL,It's slippery,2
412,THREEROUNDS,Distance of an amateur fight,3
413,TOBACCOROAD,Caldwell classic,6
414,TOILETWATER,Light perfume,4
415,TOPTENLISTS,Some late-night TV gags,2
416,TRAVELINMAN,Ricky Nelson tune,3
417,TURKEYJERKY,Backpacking snack,1
418,TURNSIGNALS,"Trafficators, in the U.S.",1
419,TYCOONTRUMP,DONALD,2
420,UNDERTHEGUN,On deadline,1
421,WAILINGWALL,Holy site in Jerusalem,1
422,WAILINGWALL,Pilgrimage site,3
423,WAITAMINUTE,What the vacillator should do,1
424,WATERBEARER,"Aquarius (with ""the"")",2
425,WEARANDTEAR,"DON, SHRED",3
426,WHITERABBIT,Jefferson Airplane hit,2
427,WINDBREAKER,Chilly-weather wear,2
428,WINDBREAKER,Sailor's jacket,2
429,WINTERGREEN,Pipsissewa,2
430,WYSTANHUGHA,"Author of ""The Age of A""",2
431,ACUPRESSURE,Shiatsu,1
432,ADIMEADOZEN,Cheap,7
433,ALICEMARBLE,Four-time U.S. Open tennis winner,2
434,ALLSTARGAME,Annual summer event,2
435,ARRESTYOURE,POLICEMAN'S PRONOUNCEMENT?,2
436,ATFULLSPEED,Quickly,1
437,BAKEDPOTATO,Delicious POKED OAT BAT?,2
438,BEEFINGITUP,Adding meat?,3
439,BILLYTHEKID,Copland opus,2
440,BILLYTHEKID,Wild West name,1
441,BIRDONAWIRE,1990 Mel Gibson/Goldie Hawn comedy-thriller,2
442,BJORNLOSERS,Swedish net balls?,2
443,BLINDASABAT,Not seeing well,1
444,BORINLEADER,Drill rig honcho?,1
445,BRIANSTHONG,Beach Boy Wilson's Speedo?,2
446,BUFFALOBILL,Wild West name,1
447,BURIEDCHILD,1979: Sam Shepard,2
448,BURNINGBUSH,Irate executive,1
449,CAESARSALAD,Delicious ALAS ARCADES?,2
450,CALRIPKENJR,Baltimore player,1
451,CAMERONDIAZ,"Star of ""Something About Mary""",2
452,CARDINALSIN,Phoenix fumble?,2
453,CHATHUNTLEY,Avian newsman?,2
454,CHEESINGOFF,Adding mozzarella?,3
455,CHICKENFEED,Trifling sum,2
456,CHUMPCHANGE,Trifling sum,5
457,CLAIRDELUNE,Popular Debussy work,2
458,CLAMCHOWDER,Seafood treat,3
459,CLOTHESDYER,Colorist?,1
460,COEURDALENE,City and lake in 57A,2
461,COLUMBUSDAY,October 12,2
462,CORROBORATE,SUPPORT,1
463,COWBOYBOOTS,Dallas footwear?,2
464,CRAZYQUILTS,Hodgepodges,2
465,DAILYDOUBLE,Bet choice,1
466,DAILYDOUBLE,Hidden pick on 45A,2
467,DANGERLINES,"Conflict boundaries, sometimes",2
468,DECLINEWINE,"Eschew the Chardonnay, perhaps",1
469,DIAMONDBACK,See title?,2
470,DINNERROLLS,Delicious DOLLS INN ERR?,2
471,DIVEINMOVIE,Esther Williams feature?,1
472,DIVINEMISSM,The Rose singer,1
473,DIVINESWINE,Pigs of the gods?,1
474,DOGSINSPACE,1986 movie directed by Richard Lowenstein,2
475,DONOTPASSGO,Monopoly mandate,2
476,DOUBLEDATES,Partying foursomes,2
477,DRYMARTINAS,Thirsty Hingis and Navratilova,2
478,DUMBASADODO,Quite stupid,1
479,EARLYAUTUMN,Pulitzer Prize winner for Bromfield,2
480,EDVARDGREBE,Avian composer?,2
481,ENCHANTRESS,Sorceress,2
482,ENDOFAUTUMN,Rouault painting,2
483,EVILSPIRITS,Conjurer's concoctions,1
484,FATHERGOOSE,1964 Cary Grant film,4
485,FATHERGOOSE,Cary Grant movie,1
486,FEARTOTREAD,See 17A,1
487,FELINEWHINE,The complaining cat's meow?,1
488,FIERYSPEECH,Keynoter's forte,1
489,FILECABINET,Documents holder,2
490,FILETMIGNON,Delicious LONE MINT FIG?,2
491,FINGERPAINT,Create art with one's bare hands,1
492,FIRECRACKER,Noisy thing,2
493,FOOLSRUSHIN,Start of a song title,1
494,FORRESTGUMP,Best Picture 1994,2
495,FORTSTATION,Where a garrison gets gas?,2
496,FRENCHTOAST,Paris order?,2
497,FROMATOPHAT,See 24A,2
498,GITCHEGUMEE,Song of Hiawatha lake,2
499,GOLDENRINGS,FIVE,2
500,GRANDCANYON,Vacation spot,2
501,HAMMERSTEIN,Rodgers' partner,2
502,HARESTYLIST,"Salon employee, to Bugs?",2
503,HARRYHAMLIN,L.A. Law actor,4
504,HELPINGHAND,Assistant or assistance,1
505,HIGHANXIETY,Mel Brooks film spoof,2
506,HOCKEYRINKS,Where Kings and Senators play,1
507,HOMERUNKING,"Soubriquet for McGwire, perhaps",2
508,HOWARDSTERN,Private Parts star's seabird,2
509,INACOONSAGE,A very long time,2
510,INANUTSHELL,Concisely,5
511,IRISHCOFFEE,Dublin order?,2
512,IRISHSETTER,Member of the sporting group,2
513,IRMALADEUCE,She's often tied up in the courts,2
514,JARJARBINKS,"Character from ""The Phantom Menace""",1
515,KARAOKEBARS,Where to find open mikes,2
516,KITTYKELLEY,Poison-pen biographer,2
517,KLINESHRINE,Devotional site for Kevin's fan club?,1
518,KNUCKLEBALL,Unique slow pitch,2
519,KNUCKLEDOWN,Get serious,7
520,KRISKRINGLE,Another name for Santa Claus,2
521,LARRYSTORCH,F Troop actor,2
522,LEGALEAGLES,1986 Robert Redford film,2
523,LETSDOLUNCH,Meal suggestion,2
524,LIONHEARTED,Brave,3
525,LOOKYOULEAP,BE CAREFUL?,2
526,LORETTASWIT,M*A*S*H star's clever repartee,2
527,LUNCHLAUNCH,Noon blastoff at Cape Canaveral?,2
528,MADAMECURIE,1943 Greer Garson title role,4
529,MAKEORBREAK,Critical point,2
530,MATINVOYAGE,Elopement at sea?,1
531,MEANASABEAR,Downright nasty,1
532,MEANSTREETS,Early Scorsese/De Niro collaboration,1
533,MERVGRIFFIN,Creator of 45A,2
534,MICRODOTCOM,Secret agent's Web address?,2
535,MINUTETRACE,Microscopic evidence,1
536,MITCHMILLER,Sing-along maestro,2
537,MOTHERGOOSE,Nursery denizen,3
538,MRSROBINSON,Simon and Garfunkel hit,3
539,NAHAOKINAWA,Western Pacific capital,2
540,NATALIEWOOD,Splendor in the Grass actress,3
541,NATTYBUMPPO,The Pathfinder,2
542,NETPROCEEDS,Wimbledon winnings,2
543,NIGHTMOTHER,Marsha Norman Pulitzer winner,2
544,NOESFORNEWS,Negatives to reporters?,2
545,NONVOLATILE,Calm,2
546,NOONSFRIDAY,WORK-WEEK ENDINGS?,2
547,NUTMEGSTATE,Nickname of CT,2
548,ONTHECARPET,Under consideration,2
549,ONTHEDOTCOM,Punctual person's Web address?,2
550,ONTHEDOUBLE,Hurriedly,1
551,OUTOFAFRICA,Best Picture 1985,2
552,OYSTERSTEWS,Seafood treats,2
553,PANICBUTTON,It's pushed in distress,2
554,PARTITIONED,Divided into sections,2
555,PASSTHEBUCK,Request for venison?,2
556,PENNYARCADE,One-time amusement center,2
557,PENNYARCADE,Place on the midway,2
558,PHILIPNOLAN,The Man without a Country,2
559,PINKPANTHER,Inspector Clouseau,2
560,POLKADOTCOM,Summer frock designer's address on the World Wide Web?,2
561,POPINTOVIEW,Become visible,2
562,PORPOISEFUL,Intentional?,2
563,POSTITNOTES,Stick-ons,2
564,POUNDNUMBER,"Part of Ezra's ""Canto LII""?",2
565,PRESENTABLE,Ready for show,1
566,PULLARABBIT,"With 43A, something a magician might do",2
567,PURPLEHEART,Hero's accolade,1
568,RADIATORCAP,Auto engine feature,2
569,RATTLESNAKE,See title?,2
570,RICHARDBYRD,Polar explorer,1
571,ROBERTSTACK,Ness portrayer's riding gear,2
572,ROBERTWHITE,"Calling bird, formally",2
573,ROLLERBLADE,Venice Beach exercise,2
574,ROMANCANDLE,It has to be dark for this,2
575,SCALLOPPINE,Veal dish?,2
576,SCOTCHPINES,Needled trees,2
577,SEVERSEAVER,Tom Terrific cut from the team?,2
578,SHARONSTONE,Casino actress's special vocal quality,2
579,SINGLESPACE,Typing format,2
580,SITTINGDUCK,Gallery sighting,2
581,SMARTASAFOX,Super clever,1
582,SMARTCOOKIE,Clever person,6
583,SPANISHRICE,Pilaf's cousin,1
584,SPELLBINDER,Compelling speaker,2
585,SPLITSECOND,"Rutger Hauer sci-fi thriller, 1992",1
586,STRIPTEASER,Questionable nightclub performer,2
587,STRONGPOINT,Advantageous position...,2
588,SWISSCHEESE,Holey treat,1
589,TELEKINESIS,Uri Geller's forte,2
590,TELETUBBIES,Laa-Laa and Po,2
591,TENNISELBOW,Racquet malady,1
592,THETHIRDMAN,"Orson Welles film noir mystery, 1949",1
593,THEYEARLING,1939: Marjorie Rawlings,2
594,THICKASADOG,Westminster judge's criteria?,2
595,THOMASTHUMB,"Stage midget, formally",2
596,TOACUSTOMER,ONE,2
597,TONIBRAXTON,Unbreak My Heart singer,2
