,answer,clue,couple_occurencies
222,SPIRALSTAIRCASE,"Way up, perhaps",3
223,STANDUPROUTINES,Highest form of comedy?,3
224,STARSANDSTRIPES,Two-time America's Cup winner,3
225,STATEHANGDOHEAT,...FOUR MORE,1
226,STEVENSPIELBERG,Jurassic Park director,3
227,STEVENSPIELBERG,Schindler's List director,3
228,STEVETOMCHIPPER,US Open Champ '96/Welsh Singer/Third Baseman,3
229,STOPSUPABATHTUB,WHAT A PLUG DOES,3
230,STRETCHESAPOINT,Makes an exception,3
231,SUPPLIESCURRENT,WHAT A PLUG DOES,3
232,SURFTHEINTERNET,Engage in water sports?,4
233,SWEDISHMEATBALL,Delectable spheroid,2
234,SWORDSWALLOWERS,More carnival attractions,4
235,TAKINGPRATFALLS,Lowest form of comedy?,3
236,THANKSGIVINGDAY,"Today, in the USA",2
237,THEBEGINNINGOFA,More of the comment,3
238,THECARTERFAMILY,Groundbreaking country music group,3
239,THEFOUNTAINHEAD,Work by 1A,3
240,THEGIRLNEXTDOOR,1953 Dan Daily film,3
241,THEINVISIBLEMAN,ALL GONE!,4
242,THELADYVANISHES,1938 Hitchcock thriller,3
243,THEMANINTHEMOON,He's out every night,3
244,THEMANINTHEMOON,Lunar resident?,3
245,THEMARXBROTHERS,"Stars of ""Horse Feathers""",1
246,THENEWLYWEDDAME,Knight's recent bride?,3
247,THEPEARLFISHERS,Operatic gem,3
248,THESOUNDOFMUSIC,Rodgers and Hammerstein musical,3
249,THESPECKLEDBAND,Sherlock Holmes tale,3
250,THETHUNDERROLLS,#1 for Garth,4
251,THEUNKNOWNIDEAL,Work by 1A,3
252,THEWOMANINWHITE,1948 Eleanor Parker thriller,3
253,THEYREALLLIBRAS,"What 17A, 22A, 47A, and 55A have in common",3
254,THINGSYOUSTRIKE,THEME OF THIS PUZZLE,3
255,THIRTYSOMETHING,Baby-boomer series,4
256,THOUGHNIETZSCHE,START OF A COMMENT ON THIS PUZZLE'S TITLE,3
257,THREEMINUTEEGGS,Quick breakfast?,3
258,THREWINTHETOWEL,Gave up,4
259,THROWINTHETOWEL,Give up,23
260,TOLOVEONESELFIS,Start of a comment by Oscar Wilde,3
261,TOMDICKANDHARRY,Subjects of this puzzle,4
262,TONYTONYRANDALL,Stylish actor?,3
263,TOOGOODTOBETRUE,Like winning the lottery,4
264,TORONTOBLUEJAYS,Baseball birds,3
265,TRAFALGARSQUARE,Lord Nelson statue site,5
266,TRAPPEDLIKEARAT,Ignominiously caught,3
267,TROOPWITHDRAWAL,Pullout,3
268,TWELVEHOURSHIFT,Half a work day?,3
269,TWISTSINTHEWIND,Suffers protracted humiliation,3
270,TWOFORTHESEESAW,1962 Robert Mitchum film,3
271,UNCHAINEDMELODY,Righteous Brothers hit,3
272,VEGETABLEGARDEN,It is a bed,3
273,VIEWTHENIGHTSKY,SEE STARS,3
274,VOLLEYBALLGAMES,Competitions for Gabriella Reece,1
275,WASHONESHANDSOF,Renounce,3
276,WATCHONTHERHINE,Lillian Hellman play,3
277,WATCHTHEGRAMMYS,SEE STARS,3
278,WHATCHAMACALLIT,Received orders,1
279,WHENBILLYMETMEG,"1989 comedy, truthfully?",3
280,WHISTLERSMOTHER,"Arrangement in Gray and Black, familiarly",3
281,WILLIAMFAULKNER,Yoknapatawpha County creator,3
282,WILLIAMFBUCKLEY,National Review founder,3
283,WILLIAMFRIEDKIN,The French Connection director,3
284,YELLOWSTONEPARK,Old Faithful locale,5
285,YELLOWSUBMARINE,Blue Meanies movie,3
286,YERTLETHETURTLE,Seuss classic,4
287,YOUGIVEGOODLOVE,Hit by 39A,2
288,ZIPPYTHEPINHEAD,Not-so-swift comic character,3
289,ACCIDENTSHAPPEN,That's the way it goes,2
290,ACHRISTMASCAROL,Where to find 17A and 55A,2
291,ACTRESSLYNDADAY,GEORGE,2
292,ADELIENEWSPAPER,It accompanies the penguin's breakfast?,1
293,ADIFFERENTWORLD,The Cosby Show spinoff,4
294,AGAINSTTHEGRAIN,Contrary to one's temperament,3
295,AGAINSTTHEGRAIN,Irritating,2
296,AGEOFPROSPERITY,BOOM,3
297,AGHOSTOFACHANCE,Slim odds,2
298,AHARDDAISYNIGHT,Fab Four flick?,2
299,ALISONSKIPWORTH,W.C. Fields' foil,2
300,ALLENCOMPASSING,Totality,2
301,ALLKIDDINGASIDE,Really!,3
302,ANDSTOLETHESHOW,End of the one-liner,2
303,ANNIKASORENSTAM,Two-time Women's Open winner,1
304,ANNIVERSARYSONG,Jolson-Chaplin classic,3
305,ASAMATTEROFFACT,Really!,3
306,ASECRETREVEALED,"Song from ""Sleeping Beauty""",1
307,ASTRAYDOGWALKED,Start of a one-liner,2
308,ATALOSSFORWORDS,Speechless,7
309,AUTOMATICTELLER,It makes banking easier,2
310,BACKTOSQUAREONE,Restarter's heading,2
311,BAKULAASDRACULA,Scott in the role of a bloodsucker?,3
312,BALANCINGTHEBUD,Acrobatic florist's activity?,3
313,BANANADAIQUIRIS,Hot climate coolers,2
314,BARBERSTREISAND,Hirsute singer?,3
315,BARLEYGETTINGBY,Just making it at the granary?,3
316,BEDANDBREAKFAST,Resort area sign,1
317,BEMOREORGANIZED,Common New Year's resolution,3
318,BESTKEPTSECRETS,Subject of a Gore book,3
319,BETTERBELIEVEIT,This is no joke!,3
320,BEVERLYHILLSCOP,1984 Eddie Murphy flick,1
321,BIRTHDAYPRESENT,Toy store purchase,3
322,BOLTFROMTHEBLUE,Totally unforseen event,2
323,BORDEAUXCRIMSON,TWO REDS,1
324,BOULDERCOLORADO,Where the Buffalos play,1
325,BOXOFCHOCOLATES,Whitman Sampler,2
326,BREAKOUTINHIVES,Have an allergic reaction,2
327,BROADWAYMUSICAL,CATS,2
328,BURDONROCKGROUP,ANIMALS,2
329,BURPTOMMYGREASE,Three more guns,2
330,BUSINESSMACHINE,Office equipment,1
331,BUTWHATWEFINISH,Success is not judged by what we start ...,2
332,CARDINALBEGONIA,TWO REDS,1
333,CARLSBADCAVERNS,Home to countless bats; one of the 17A,3
334,CELEBRITYROASTS,Good-natured putdowns,3
335,CHARLIEMCCARTHY,Mortimer Snerd's buddy,1
336,CHEXANDBALANCES,Governmental limits?,3
337,CHICAGOSINTIMES,Disgraceful paper?,2
338,CHIPOFFTHEBLOCK,"Big sliver, maybe?",2
339,CHRISTMASISLAND,Cook discovery of 1777,3
340,CHRISTOPHERWREN,Architect of St. Paul's cathedral,1
341,CINNABARPIMENTO,TWO REDS,1
342,CLOSEBUTNOCIGAR,Ju-u-ust missed!,2
343,CLOSEBUTNOCIGAR,CLAR,2
344,CLOSEBUTNOCIGAR,Near-miss words,3
345,COLLISIONCOURSE,The road to ruin?,2
346,COMEDIANBUTTONS,RED,4
347,COMICALANDERSON,LOUIE,2
348,COMMONHOUSEPETS,TITLE?,3
349,COOLASACUCUMBER,Unflappable,6
350,COPPERFIELDLEAN,TWO ENTERTAINING DAVIDS,1
351,CORPORATERAIDER,Executive NFLer?,2
352,COULDNOTSUCCEED,End of the comment,1
353,COUNESBLESSINGS,"Rest and be thankful, weight-lessly",1
354,COUNTLESSNOBLES,Lots and lots of lords?,1
355,CRYINGINTHERAIN,Sadly all wet?,2
356,DAGHAMMARSKJOLD,Nobelist of 1961,3
357,DARKREDPIGMENTS,LAKES,1
358,DAYBEFORESPRING,"Lerner-Lowe work of 1945 (with ""The"")",2
359,DAYSLENGTHENING,Sign of spring,3
360,DELIGHTEDTHATWE,Middle of the quip,3
361,DETECTIVEBUREAU,Police department,1
362,DISAPPOINTMENTS,They don't meet expectations,1
363,DISCOMBOBULATED,"All there, but not altogether",2
364,DISPASSIONATELY,Unfeeling,2
365,DONTBLOWAGASKET,Easy!,3
366,DONTGIVEUPMOSES,Start of a quip about steadfastness,1
367,DONTHAVEAGASKET,Calm down!,1
368,EASELEASEPLEASE,Tenant's polite request?,2
369,EBENEZERSCROOGE,Seasonal visitor,2
370,ELIZABETHTAYLOR,Star of 20A and 48A,1
371,EVERLEVERCLEVER,Always handy with a crowbar?,2
372,EVERSOCAREFULLY,With the greatest of caution,1
373,EXFOOTBALLERJIM,RINGO,2
374,EYESOFLAURAMARS,"1978 Faye Dunaway flick (with ""The"")",2
375,FAMILIARHATSIZE,6 7/8,2
376,FATHERKNOWSBEST,50's family sitcom,1
377,FIRTHEGOODTIMES,Ray Price treesong?,3
378,FLASHJAMHUFFRUT,IN A ...,3
379,FLATBASTARDFILE,Hardware purchase,3
380,FLOWERSBLOOMING,Sign of spring,3
381,FYSICALPHITNESS,Measure of being in shape?,2
382,GATEMANSNAMETAG,Doorkeeper's identification?,2
383,GENERALASSEMBLY,Paul Spaak was its first president,3
384,GETTHEUPPERHAND,Be dealt a royal flush?,1
385,GLENDAJANETKATE,Three Jacksons,3
386,GOBSOFSEAFARERS,Tons of tars?,1
387,GOODFORNOTHINGS,Ne'er-do-wells,7
388,GOODTIMECHARLIE,Party animal,1
389,GOWITHOUTSAYING,Be self-evident,6
390,GREATWHITESHARK,Terror of the seas,1
391,GUITARWIZARDLES,PAUL,2
392,HAMMERHEADSHARK,Curious-looking predator,2
393,HANDOUTLEAFLETS,One way to spread the word,2
394,HAVEASCREWLOOSE,Be eccentric,2
395,HAVENOTRUCKWITH,Steer clear of?,1
396,HAVEWHATITTAKES,End of the quip,3
397,HAVINGAFIELDDAY,Enjoying great opportunity,3
398,HAWAIIVOLCANOES,Lava-spewing site; one of the 17A,3
399,HECKLEANDJECKLE,Cartoon magpies,3
400,HENRYLONGFELLOW,Wadsworth in the middle,1
401,HERECOMESTHESUN,1969 George Harrison tune,1
402,HERECOMESTHESUN,Richie Havens hit,3
403,HIDESONESDISMAY,Wonderment,1
404,HIGHSCHOOLDANCE,HOP,2
405,HIGHWAYTOHEAVEN,Michael Landon's TV series,2
406,HILLEDGERAINBOW,OVER THE ...,3
407,HITCHCOCKTHREAT,BIRDS,2
408,HOLDSONESTONGUE,Remains silent,2
409,HORRENDOUSGRADE,"F, in school",3
410,ICANTGETSTARTED,Bunny Berigan theme song,1
411,IDOIDOIDOIDOIDO,What was that again? musically,3
412,IMBIBECHEAPBEER,End of the observation,2
413,INCOMPATIBILITY,Antagonistic state of things,2
414,INDEPENDENCEDAY,Flag flying time,1
415,INDIANROPETRICK,Magical illusion,2
416,INTHEFIRSTPLACE,Primarily,3
417,INTOAFLEACIRCUS,Middle of the one-liner,2
418,INVENTORYISDOWN,Business report from Acme Ski Jackets?,3
419,ISJUSTSHOWINGUP,Eighty percent of success ...,3
420,ISPROBABLYRIGHT,End of quip,1
421,JACQUESCOUSTEAU,Calypso skipper,3
422,JAPANESEBEETLES,Garden pests,3
423,JOLLYGREENGIANT,Amiable but envious NFLer?,2
424,JUJITSUTEACHERS,They can really throw you,3
425,JUMPINGOFFPLACE,Starting point for a trip,2
426,JUMPINJACKFLASH,1986 movie starring Whoopi Goldberg,2
427,KEEPSONESTEMPER,Remains cool,1
428,KEEPYOURSHIRTON,Don't have a cow!,2
429,KISSESINALETTER,XXX,3
430,KNOWSONESONIONS,"Has proficiency, slangily",3
431,KODAKINSTAMATIC,CAMERA!,2
432,LAMAVERAGEWHOLE,ON THE ...,3
433,LAWSUITORWAGERS,ACTION!,1
434,LENBARRYHITTUNE,1-2-3,2
435,LETTERMANSOUTER,TWO DAVIDS - TV SHOW HOST & JUSTICE,1
436,LETUSBETHANKFUL,Start of a comment by Mark Twain,1
437,LIEDOWNONTHEJOB,Dog it,3
438,LIFESTOOSHORTTO,Start of an observation,2
439,LINESORTSKILTER,OUT OF ...,3
440,LITTLEBATOFLUCK,Dracula's good fortune?,3
441,LOOKATTHEBIRDIE,Words to a portrait-sitter,2
442,LOOKBACKINANGER,John Osborne play,4
443,LOOKKCABINANGER,John Osborne play,2
444,LOOSELEAFBINDER,Back-to-school purchase,2
445,MADEITWEVEHADIT,END OF QUOTE,3
446,MAHALIAANNETITO,Three more Jacksons,3
447,MEADOWLARKLEMON,Harlem Globetrotters legend,3
448,MEATANDPOTATOES,"FLESH, TUBERS",3
449,MEDICAREKICKSIN,65? _____,2
450,MEDICAREKICKSIN,?????,1
451,MEETMEINSTLOUIS,1944 Judy Garland musical flick,1
452,MISSINGTHEPOINT,You just don't get it,1
453,MOONANDSIXPENCE,"W. Somerset Maugham novel, with ""The""",3
454,MOSTWANTEDLISZT,"Sold-out ""Hungarian Rhapsody #2"" CD's?",3
455,MOUNTTHESOAPBOX,One way to spread the word,2
456,MOVELIKEARABBIT,HOP,2
457,MYTHOLOGICALGOD,TITAN,2
458,NATURALDISASTER,"Earthquake, e.g.",6
459,NEEDLEPOINTLACE,Doily fabric,2
460,NEWENGLANDRIOTS,Team that cut comedian Paulsen?,3
461,NIVENFROSTBOWIE,THREE ENTERTAINING DAVIDS,1
462,NOIFSANDSORBATS,Dracula's conditions?,3
463,NUMBERSEVENTEEN,1932,2
464,ONCEABASKETCASE,End of quip,1
465,ONCEINABLUEMOON,From time to time,1
466,ONEARMEDBANDITS,Slots,13
467,ONETOUCHOFVENUS,"Weill-Nash musical, 1943",2
468,ONEWHOHESITATES,Start of a quip about a vacillator,1
469,ONRAREOCCASIONS,From time to time,1
470,ORANGEMARMALADE,Citrus preserve,2
471,PALAEONTOLOGIST,Prehistoric life pursuer,1
472,PASSENGERPIGEON,Taker of notes?,2
473,PEARLHARBORYEAR,1941? _____,1
474,PEARLHARBORYEAR,?????,1
475,PETRIFIEDFOREST,Painted Desert section; one of 17A,3
476,PHANTOMSTRANGER,Supernatural DC Comics character,2
477,PHYSIOTHERAPIST,Occupational doctor,1
478,PLANETOFTHEAPES,Film starring Charlton Heston,1
479,PLEASUREANDPAIN,Good and bad,2
480,POINTOFNORETURN,Advance is the only alternative,1
481,POPEYETHESAILOR,Thimble Theatre figure,4
482,POSSESSIONTOLAW,9/10,2
483,PROMISSORYNOTES,I.O.U.s,1
484,PSYCHOPHYSICIST,Stimuli-response researcher,1
485,PUTOUTTOPASTURE,Force to retire,3
486,PUTTINONTHERITZ,1930 movie starring Joan Bennett,2
487,RAPSTRAPSSTRAPS,Criticizes percussion instruments' bindings?,2
488,RATEIRATEPIRATE,Score a mad software thief?,2
489,REELINANDROCKIN,Chuck Berry tune,3
490,RETURNTOSLENDER,Diet?,3
491,RICESABOVEITALL,Ignores an insult in the granary?,3
492,ROBERTGUILLAUME,Benson portrayer,3
493,ROBERTSTEVENSON,Louis in the middle,1
494,ROCKETSREDGLARE,The Star Spangled Banner words,1
495,ROCKOFGIBRALTAR,Insurance logo,3
496,ROCKOFGIBRALTAR,Symbol of strength,3
497,ROLLTROLLSTROLL,Run a movie about a perambulating dwarf?,2
498,ROSESIENAGARNET,THREE REDS,1
499,RUSSIANROULETTE,Suicidal stunt,2
500,RUSSOASCLOUSEAU,Rene playing a klutzy inspector?,3
501,RYESENSEOFHUMOR,Necessity for granary gagsters?,3
502,SAMUELCOLERIDGE,Taylor in the middle,1
503,SATONONESLAPTOP,Accidentally broke the computer?,2
504,SATURNSATELLITE,TITAN,2
505,SCOTTISHTERRIER,Pet for Nicol Williamson,1
506,SECURITYCOUNCIL,Fifteen-member group,4
507,SEEONESWAYCLEAR,Regard as suitable,3
508,SELZNICKSARNOFF,TWO DAVIDS - MOVIE PRODUCER & RCA CEO,1
509,SESONEINTHEFACE,Confronts*,1
510,SEVENINCHRECORD,45,2
511,SEVERERAINSTORM,TITLE?,3
512,SHARPWITTEDNESS,Acuity,3
513,SHIRLEYMACLAINE,"She played ""Irma La Douce""",3
514,SHREDDEDWHEATON,Stand By Me star after an industrial accident?,3
515,SILENCEISGOLDEN,"Librarian's line, maybe",3
516,SINGININTHERAIN,1952 movie starring Gene Kelly,2
517,SINGININTHERAIN,1952 movie title tune,3
518,SINGININTHERAIN,Makin' the best of things,2
519,SIRFRANCISDRAKE,Golden Hind skipper,3
520,SITSONONESHANDS,Does nothing,5
521,SIXPERCENTLOANS,Bank offerings,1
522,SLIPONESTROLLEY,Act irrationally,1
523,SMOKINGCAPWATER,Three guns,2
524,SNAPPINGTURTLES,Strong-jawed swimmers,4
525,SOMUCHTHEBETTER,That's even more appealing,1
526,SONGWRITERELTON,JOHN,2
527,SONVILLEJAGUARS,Team that cut Actor Nicholson?,3
528,SOUNDANDTHEFURY,"Faulkner novel, with ""The""",4
