,answer,clue,couple_occurencies
31,WHICHFREEDOMSANGELBLEW,The blast ___: Whittier,1
32,AGBELLSANDCOCKLESHELLS,Mary's flowers,1
33,ALLTHATGLISTERSISNOTAU,Shakespearean nugget,1
34,FARFROMTHEMADDINGCROWD,Monday: 8 P.M.,1
35,HANGINGAROUNDTHECORNER,Girl-watching,1
36,PRISONEROFSECONDAVENUE,Monday: 9 A.M. to 5 P.M.,1
37,TAKEMEOUTTOTHEBALLGAME,Spring song,1
38,THEMAYOROFCASTERBRIDGE,Michael Henchard,1
39,THESHERIFFOFNOTTINGHAM,Foe of a Hood,1
40,AMERICANVARIETYOFAPPLE,Rome,1
41,DUKEOFWELLINGTONSHORSE,Copenhagen,1
42,LIGHTCRUSTYBREADORROLL,Vienna,1
43,UNITEDSTATESSONGWRITER,Berlin,1
44,ILOVEMYWIFEBUTOHEUCLID,Mathematician's song?,1
45,LISTENTOTHEMARKHAMBIRD,Poet's song?,1
46,BEDKNOBSANDBROOMSTICKS,9 A.M.–2 P.M.,1
47,THESHOPAROUNDTHECORNER,2–4 P.M.,1
48,GHOULIESANDGHOSTIESAND,"With 92, 99 and 117 Across, Scottish frights",1
49,LONGLEGGETYBEASTIESAND,See 39 Across,1
50,REPREHENDINGSUCHCAPERS,Limerick: Part V,1
51,WHOONCEWENTOFFONASPREE,Limerick: Part III,1
52,CHRISTMASINCONNECTICUT,Stanwyck film: 1945,1
53,THELONGCHRISTMASDINNER,Thornton Wilder play,1
54,FRIENDSTHATNEVERFAILME,THOMAS CARLYLE,1
55,MYMASTERSANDCOMPANIONS,JOSEPH HALL,1
56,COUNTDOWNATTIMESSQUARE,Event at which people have a ball,2
57,SHOULDAULDACQUAINTANCE,Timely opening words,2
58,SOMEBODYSAYSITSTIMEFOR,"Quote, part 5",2
59,STARTWORKATEIGHTOCLOCK,"Quote, part 3",2
60,LOVEWILLKEEPUSTOGETHER,Vision of the future in human relations?,2
61,THETRUTHWILLSETYOUFREE,Vision of the future in ethics?,2
62,CITYSHOMELESSCUTINHALF,Ambiguous headline about a vagrancy statistic?,3
63,TEACHERSTRIKESIDLEKIDS,Ambiguous headline about school closings?,3
64,BRINGSHOMEROOMTHEBACON,Offers breakfast to students before first period?,3
65,IIIIIIIIIIIIIIIISPIDER,Visual presentation of what gave 115-Across special powers,2
66,NORESTROOMFORTHEWICKED,Sign outside a church lavatory?,3
67,AROUNDTHEWORLDINATDAYS,1873 adventure novel that begins and ends in London,2
68,STATESWONBYBARACKOBAMA,"With 90-Across, what the 28 circled squares in this puzzle represent",2
69,AWRINKLEINTIMEANDAGAIN,Creased copy of a Jack Finney novel?,2
70,RESTITUTIONINSTITUTION,*Small-claims court,1
71,THELONGGOODBYECOLUMBUS,Unabridged version of a Philip Roth novella?,2
72,AHANDWRITTENBEERRECIPE,"The Library's Special Collections include one of George Washington's creations, ___",2
73,SUBTITLEDAPARIOTICSONG,"The Library's rare first-edition printing of ""The Star-Spangled Banner"" is, to its publisher's chagrin, ___",2
74,THEPAWOFHISDECEASEDCAT,"The handle of Charles Dickens's ivory letter opener, in the Library's collection, is ___",2
75,THERESNOWHERETOGOBUTUP,Optimist's phrase under adverse circumstances ... or a hint to completing the answers to the six starred clues,1
76,WORSTNIGHTMARECOMETRUE,*Most awful thing you could imagine,1
77,MUSEUMOFNATURALHISTORY,Home to many stuffed animals,1
78,CAREERSHIFTOPPORTUNITY,Layoff,2
79,ECONOMICALWITHTHETRUTH,Lying,2
80,LOVEWILLKEEPUSTOGETHER,Vision of the future in human relations?: 5 wds.,1
81,THETRUTHWILLSETYOUFREE,Vision of the future in ethics?: 6 wds.,1
82,TREATTRICKORTRICKTREAT,Something said while holding a bag,1
