,answer,clue,couple_occurencies
121,FITASAFIDDLE,Hale and hearty,3
122,FOUREYEDFISH,Tropical swimmer,3
123,FOURTHESTATE,Millionaire's home-away-from-home-away-from-home-away-from-home?,3
124,FRANDRESCHER,The Nanny portrayer,3
125,FRANKLOESSER,Most Happy Fella lyricist,1
126,FRASIERCRANE,Niles's big brother,2
127,FREDANDWILMA,First names of 16A,3
128,GAMEOFCHANCE,Risky business,1
129,GLENNSTRANGE,House of Frankenstein monster portrayer,3
130,GLOSSYFINISH,Y,2
131,GOLDENARCHES,M-shaped sight,2
132,GOONTHEWAGON,Take a dry run?,1
133,GRANDMAMOSES,The Old Oaken Bucket painter,3
134,GRUMPYOLDMEN,Matthau-Lemmon hit,3
135,HANNABARBERA,Creators of 16A,3
136,HARLANFSTONE,"Hard guy who was Chief Justice of the U. S.,",1
137,HARRIETSTOWE,Abolitionist-writer Beecher,1
138,HEARTANDSOUL,Song by 25A,1
139,HEARTTOHEART,Frank,3
140,HEATHERANGEL,"Actress of the ""Bulldog Drummond"" series",3
141,JAILHOUSEROC,Enormous bird in the pen?,3
142,JOHNNYGUITAR,1954 Joan Crawford film,3
143,JULIAROBERTS,"She played ""Pretty Woman""",3
144,KEITHMICHAEL,Two more Jacksons,3
145,KETTLEOFFISH,"When it's fine, it's not",2
146,MEMPHISBELLE,1990 Modine-Stoltz war flick,1
147,MERRYGOROUND,Six Flags spinner,2
148,MILBURNSTONE,"Hard guy who played 'Doc""",1
149,MISTERBIGTOP,Ringmaster?,2
150,MOMANDPOPTOP,Parent with soda can?,2
151,MONEYGRUBBER,Accumulator of cash,1
152,MOUTHTOMOUTH,EMT procedure,3
153,NATETHESKATE,Hoops nickname,3
154,NEARDISASTER,CALAMIT,2
155,NOTUPTOSNUFF,Unsatisfactory,5
156,ODEOFCONDUCT,Poem on management?,2
157,OUTOFFASHION,No longer in style,2
158,OUTOFTHEBLUE,Unexpectedly,9
159,PENNYPINCHER,Tight spender,1
160,PENTIUMCHIPS,PC edibles?,3
161,PHONYBALONEY,Nonsense,3
162,PIPESOFPEACE,McCartney album,3
163,PRESSRELEASE,Instructions 1 and 2 for a push-button?,3
164,PRIDEOFLIONS,Jungle group,2
165,PULLAFASTONE,Perpetrate a fraud,3
166,PURPLEHEARTS,Some military decorations,2
167,RALPHEMERSON,Philosopher-writer Waldo,1
168,REGGIELATOYA,Two more Jacksons,3
169,RETURNTICKET,Travel security,2
170,RIPVANWINKLE,A real sleeper?,1
171,RISEANDSHINE,Early greeting,2
172,RUNNINGSTART,R,2
173,SHARPTONGUED,Sarcastic,3
174,SHIRLEYBOOTH,Hazel portrayer,3
175,SILKSTOCKING,Highborn,2
176,SLOTHOFBEARS,Forest group,2
177,STEAMERTRUNK,Stowaway?,2
178,STICKTOITIVE,Pertinacious,1
179,TAKEOFFTIMES,O'Hare data,2
180,TAKESTHECAKE,Surpasses all others,2
181,TARHEELSTATE,Old Dominion neighbor,2
182,THANKYOUNOTE,Expression of appreciation,1
183,THEBIGBOPPER,Chantilly Lace singer,2
184,THEBIGKAHUNA,"Top dog, as a Hawaiian may call him",2
185,THEVELVETFOG,Mel Torme,2
186,TINKERAROUND,Fiddle (with),1
187,TORATORATORA,What was that again? cinematically,3
188,TUGBOATANNIE,1933 Marie Dressler classic,3
189,TURNTURNTURN,What was that again? musically,3
190,TWOTOEDSLOTH,Unau,4
191,VIVALASVEGAS,1964 Presley flick,1
192,WALLYCLEAVER,Theodore's big brother,2
193,WILTTHESTILT,Hoops nickname,3
194,WINDBREAKERS,All-weather cover-ups,1
195,ACEINTHEHOLE,Sure thing,2
196,ALCAPPUCCINO,"Star of ""Scent of a Woman?""",2
197,ALLSAINTSDAY,"Nov. 1st, in New Orleans",2
198,ANAIRPLANEIS,Start of quip,1
199,BATMASTERSON,Wild West name,1
200,BEANIEBABIES,Garden-variety toys?,1
201,BINGSFIBBING,CROONER CROSBY'S CAUGHT IN A LIE?,1
202,BIRDSEYEVIEW,Good vantage point,2
203,BLABBERMOUTH,Big talker,2
204,CAIRNTERRIER,AKC category,1
205,CALAMITYJANE,Wild West name,1
206,COBONTHECORN,Popular summer vegetable flips around?,2
207,COLORADORYAN,RICKY NELSON,1
208,DAIRYPRODUCT,Cottage cheese or butter,1
209,DANISHPASTRY,Bakery item,1
210,DIPINTHEROAD,Nerdy hitchhiker?,1
211,DOESNTPANOUT,Is unsuccessful,2
212,ELGINMARBLES,Sculptures of Phidias,2
213,EMMASDILEMMA,POET LAZARUS' STICKY PROBLEM?,1
214,ESCAPECLAUSE,It's a deal breaker,1
215,ETTASARIETTA,SINGER JAMES'S FAVORITE SONG?,1
216,FISHINGPOLES,RODS,2
217,FITASAFIDDLE,In perfect health,3
218,FODORSGUIDES,Traveler's aids,1
219,FREEDOMRIDER,Activist of the '60's,2
220,GERALDMANDER,"Favorable political division, formally",2
221,HARRYHOUDINI,Escape artist,1
222,HARRYSTRUMAN,U.S. president,1
223,HEAVENLYHASH,Ice cream delight,2
224,HENRIMATISSE,The Dance painter,2
225,HIFIORSTEREO,Not monaural,1
226,HOGONTHEHIGH,Extravagance flips around?,2
227,HOLYMACKEREL,Ceremonial fish?,2
228,IDOLATROUSLY,Excessively adoring,2
229,IDOSODECLARE,Swearer's proclamation,2
230,INDIANAJONES,HARRISON FORD,1
231,JONIMITCHELL,Hejira singer,2
232,KETTLEOFFISH,It's trouble when it's fine,2
233,LAMENTATIONS,After Jeremiah,2
234,LANDINGSTRIP,Airport feature,2
235,LIFESENTENCE,It's quite a stretch,1
236,LONIANDERSON,Sitcom actress,2
237,MANOFTHEYEAR,Magazine accolade,2
238,MIDNIGHTMASS,Wee-hours religious ritual,2
239,MRPOTATOHEAD,Garden-variety toy?,1
240,NICHOLASNAME,"Moniker, formally",2
241,PAGESRAMPAGE,SINGER PATTI'S FRENZIED BEHAVIOR?,1
242,PATRIOTGAMES,Sunday nights in Foxboro?,2
243,PUTTERAROUND,Play miniature golf?,1
244,RINGSIDESEAT,Good vantage point,2
245,ROCKINGHORSE,Nursery rider,2
246,ROSETTASTONE,Great find of 1799,2
247,ROSETTASTONE,Inscribed basalt tablet,2
248,RUSSIANVODKA,Certain liquor,1
249,SADDLESTITCH,Decorative edging,2
250,SALVADORDALI,Persistence of Memory  artist,2
251,SERVEONAJURY,Do one's civic duty,2
252,SOUNDASABELL,Free from defects,3
253,SOUPOFTHEDAY,Menu item,2
254,STEVEFORREST,"ACTOR SPOTTED IN ""GREEN MANSIONS?""",2
255,STROKEOFLUCK,Hole in one?,4
256,SUPERCHARGER,"San Diego pro, to the extreme",1
257,SUPERNATURAL,"Robert Redford role, to the extreme",2
258,TELEPHONETAG,Office misadventures,2
259,TELEPROMPTER,Modern-day cue cards,2
260,THANKSALATTE,I appreciate it?,2
261,THREESACROWD,Pest-removing remark?,2
262,TICKLEMYRIBS,Make me laugh,1
263,TONGUEWAGGER,Big talker,2
264,VERONICALAKE,"ACTRESS SPOTTED ""ON GOLDEN POND?""",2
265,WOLFGANGPUCK,Noted chef and author of quip,1
266,YOUNGSTUDENT,PUPIL,2
267,BESTOFTHELOT,Cream of the crop,2
268,BOTTOMDOLLAR,Lowest amount offered,1
269,BUYERSMARKET,Healthy real estate condition,2
270,BYEBYEBIRDIE,1963 hit musical,2
271,CHANCECHANTS,Gamble-rambles?,2
272,COARSECOURSE,Crass-class?,2
273,COOLHANDLUKE,Early Newman film,1
274,COTTONMATHER,Subject of Kenneth Silverman's 1985 biography,1
275,DECKTHEHULLS,Do some decorating at the marina?,2
276,DEVILMAYCARE,Light-hearted,2
277,DOCHOLLYWOOD,Michael J. Fox comedy,2
278,FATHERFIGURE,Influential older man,2
279,FREEDOMFRIES,Congressional dining room side,1
280,HAPPYGOLUCKY,Light-hearted,2
281,HOTASAPISTOL,On a roll,1
282,INDIANAJONES,Fictional archaeologist,5
283,JOHNWILLIAMS,Star Wars composer,1
284,LEWISCARROLL,Mad Hatter creator,2
285,LIBERTYPARTY,Birney and Smith group,1
286,MAJORMEDICAL,Army doc?,2
287,MAKEONESMARK,Attains distinction,1
288,MATTHEWPERRY,Co-star of David (Schwimmer),1
289,MORALVICTORY,Ethical triumph,1
290,PLYMOUTHROCK,Domestic fowl,1
291,PRIVATEROOMS,Army doc?,2
292,RIFLETHROUGH,Ransack,2
293,ROBERTDENIRO,Mad Dog and Glory actor,2
294,SILENTKNIGHT,Gagged Galahad?,2
295,THANKSGIVING,1621 event,1
296,TOPOFTHELINE,Cream of the crop,2
297,GOOSEGOSSAGE,One time Yankee pitcher,1
298,KINGANDQUEEN,Stephen and Ellery?,1
299,MERRYGOROUND,Amusement-park spinner,2
300,SUPERCHARGER,"Mall goer, to the extreme",1
301,HOWWILLIKNOW,See 17A,1
302,IHAVENOTHING,See 17A,1
303,JACOBSLADDER,"Heavenly route, . ala Genesis",1
304,MADEMOISELLE,Lyons lady,1
305,MEMPHISBELLE,1990 Matthew Modine movie,1
306,BIGIFCURIOUS,Like someone butting in about unlikely but necessary hypotheticals?,1
307,BREASTINSHOW,Result of a swimsuit malfunction?,1
308,GIFFORDFOCUS,Kathie Lee's intellectual passion?,1
309,GIFTEDTURNER,"Vanna White, in her day?",1
310,KITCHENTHINK,Mindset for deciding on dinner?,1
311,LAGUNABREACH,SoCal fortress security lapse?,1
312,PROTESTTHONG,Bottom that fights the system?,1
313,TGIFJUNCTION,Where the office meets the bar?,1
314,BEEHIVESTATE,Utah's nickname,4
315,BIKINIWHACKS,Hits on people at a swimsuit competition?,1
316,BROKENLIZARD,"Troupe behind ""Super Troopers"" and ""Beerfest"" (eats 23-Across and poisons 62-Across)",1
317,BURNINEFFIGY,"Criticize symbolically, as a political figure",1
318,BURPCLAPSACK,Quarterback tackle cheered by clearing your digestive tract and then putting your hands together?,1
319,BUTTERFINGER,Chocolate-covered clumsy digit?,1
320,COFFEEENEMAS,They employ joe as a plumber,1
321,CUTTHECHEESE,"What 20-, 36-, and 43-Across each do",1
322,EDWARDMARKEY,"D-(circled letters), since 2013",1
323,FREEELECTRON,Particle in conductive metals,1
324,GEEWILLIKERS,Omigosh!,1
325,HEADSORTAILS,Toss-up question?,1
326,LAXXXXISTANT,"Sample-handler, at times",1
327,LPCAKEEFFECT,Icing technique that creates a vinyl-like look?,1
328,MARYLANDRIEU,"D-(circled letters), since 1997",1
329,MRSBLOBINSON,See 28-Across,1
330,ONESIECOLUMN,George Will article about infant wear?,1
331,PANDORASBOKS,Nature recordings on an Internet radio station?,1
332,QUICKIESTUDY,Cozy room for reading and trysting?,1
333,REESESPIECES,Chocolate-covered fragments of actress Witherspoon?,1
334,ROBOTCHICKEN,Stop-motion Adult Swim comedy created by Seth Green,1
335,TEENAGEDREAM,"Double platinum album with ""Firework"" and ""California Gurls""",1
336,THRILLJOCKEY,Tortoise's label,1
337,TRACINGPAPER,Translucent supply for an artist (covers 17-Across and disproves 62-Across),1
338,USAMXXXXADOR,Obama nominee with a host country,1
339,WHOSINCHARGE,Leading question?,1
340,WYLDSTALLYNS,"Bill S. Preston, Esq., and Ted ""Theodore"" Logan's band",1
341,AGHACHRISTIE,Powerful Ottoman ancestor of a certain republican governor?,1
342,BETATESTICLE,Ball in development?,1
343,BLUENIHILIST,"One feeling sad, perhaps because rejecting all truth isn't going so well?",1
344,CALISTHENICS,Exercise class I organized around shy group featuring Keith Emerson (12),1
345,CASSOCKFIGHT,Spat between priests who wore the same garment to a party?,1
346,COMMIEPLINKO,"Pricing game on ""The Price Is Right ... I Mean Left""?",1
347,CORPOREALITY,"Quality something has if you can put your arms around it (and a group hug involving tributes #4, #10, and #12)",1
348,FUTILECUTTER,Dull knife?,1
349,GETTINGALONG,"Like people in a group hug, presumably (and a group hug involving Tributes #7, #8, and #11)",1
350,GRANDOLEOPRY,Concert stage about three hours west of Dollywood,1
351,HERFATFATHER,Butt of first daughter Helen Taft's bathtub jokes?,1
352,HRDEPARTMENT,Group responsible for tallying dingers?,1
353,ISSUETHREATS,Bluster,1
354,LATTEARTICLE,Thinkpiece about pumpkin spice drinks?,1
355,LAUNDRYDEIST,Person who believes that studying socks and shorts long enough will reveal god?,1
356,MINORITYWHIP,Pitching stat for a Rastafarian in Tokyo or a Cambodian in Key West?,1
357,MONSTERMATCH,Dating site for lonely demons and zombies?,1
358,NOFUNSTARTER,Sulking member of the first unit?,1
359,ORIGINALSPIN,"Fortuitous point in the Showcase Showdown to land on $1.00, on ""The Price Is Right""?",1
360,PETERGABRIEL,"Favorite piece of work: a cheesy thing by lady singer known for wearing outrageous costumes (5,7)",1
361,PETTINGZOOSK,Dating site for people looking to get to second base?,1
362,PLEASUREDOME,"Kind of arena that might host the Hugger Games (and a group hug involving tributes #1, #2, and #6)",1
363,POETRYTRYPOE,Interested in verse? You should read 'The Bells'?,1
364,RAFFLETICKET,"Something that gets grabbed in a friendly competition (and a group hug involving Tributes #3, #5, and #9)",1
365,REPAIDAIDREP,UNICEF spokesperson who's gotten their money back?,1
366,RIOTOUSBINGO,"Game resulting in smashed windows at the senior center? (""Juicy"")",1
367,SLIMYTOILETS,"Places that certainly call for standing up while you go? (""Work It"")",1
368,TEDWASWASTED,Explanation for what happened at Chappaquiddick?,1
369,UNCRUMPLESAM,Restore the patriotic eagle Muppet after he was wadded up?,1
370,BIOTACURIOUS,Wanting to know more about the local ecology?,1
371,BOSOMBUDDIES,They're tight,1
372,CHEESEBLINTZ,Eastern European dessert that we'll just say is for breakfast,1
373,CONTROLFREAK,One who loves to run?,1
374,DOKKENDONUTS,"Food court establishment with the slogan ""Back for the snack""?",1
375,DOSANDDONUTS,Offerings at a combo salon/truck stop?,1
376,EPICCOMMERCE,Really big business?,1
377,HOTTOPICTROT,Mall walker's gait through an accessory store for teens?,1
378,ICHABODCRANE,Sleepy Hollow protagonist,1
379,KEVINCOSTNER,He won an Oscar in 1991 and a Razzie in 1992,1
380,NAMEDROPTAGS,"Following a command hidden in this answer, convention handouts; following the command another way, one flaunting their friends",1
381,ONEWOMANSHOW,Solo performance,1
382,PANTERABREAD,"Food court establishment with the slogan ""Vulgar display of flour""?",1
383,PAYITFORWARD,"Be altruistic, in a way",1
384,PROBEINTOUCH,"Media watchdog: ""Rumor has it there's funny business at a certain celebrity gossip magazine -- I would follow up""",1
385,PROPOSENAKED,"Relationship guru: ""Bare more than your soul when you pop the question""",1
386,RACYCHAPTMAN,Risque British guy who works with Eliot Ness?,1
387,RAKEDFOREVER,Dealt with a Sisyphean yard chore?,1
388,SCANDALWHACK,Mob hit that violated all the codes of honor and had everyone talking?,1
389,SEVENSEATGAL,Woman who reserved spots for herself and half a dozen friends at the rodeo?,1
390,SPIRITANIMAL,Kindred shamanic creature (I think mine is a lemur),1
391,SPYGENTLEMAN,"James Bond, at his most chivalrous?",1
392,SQUIREMATTER,Item of concern to a knight's assistant?,1
393,WASHINGTONDC,Home of the National Menorah,1
394,AMERICANPLAN,"AP, to a travel agent",2
395,BOILINGPOINT,"BP, to a chemist",1
396,BUTCHERPAPER,Meat wrap,2
397,INKBLOTTESTS,Psychological batteries,2
398,LACKOFENERGY,Couch potatoes have it,2
399,PENCILSTRIPE,Suit pattern,2
400,SOCKETWRENCH,Mechanic's tool,2
401,TRADINGSTAMP,Former supermarket bonus,2
402,BACONANDEGGS,Breakfast fare,2
403,BAGELSANDLOX,Brunch combo,2
404,BEGINJOGGING,Resolution,2
405,CHIPSANDDIPS,Party pair,2
406,EATMOREFRUIT,Resolution,2
407,ELLENBARKING,Noisy actress?,2
408,GREATBRITTEN,Consequential composer?,2
409,GRIEGGODDESS,Composer's charmer?,2
410,HALFINCHTAPE,Recording-studio need,2
411,JACKETANDTIE,"Dress code, sometimes",2
412,PARKINGWHEAT,Farmer's chore?,1
413,RACKANDRUING,Name for a poor pool hall?,2
414,RAILROADFLAT,Type of apartment,2
415,STOPTHEMUSIC,'50s game show,2
416,SUGARANDSALT,Flavor enhancers,2
417,WHERESJOHNNY,Frequent question to Ed McMahon?,2
418,BABYDUMPLING,Alexander Bumstead's childhood nickname,2
419,BIKINIBIKING,Beach sport?,2
420,BOWLOFYELLOW,Banana ice cream?,2
421,CORNETCORNER,Music-store section?,2
422,DELIVERPILLS,Work for a pharmacy?,2
423,DETESTFLIGHT,Hate to go American?,1
424,DOLLARBILLOW,Money going up in smoke?,2
425,EASTERPARADE,Garland/Astaire film,2
426,FIREATWILLOW,Command to a forest sharpshooter?,2
427,MACONWHOOPEE,Georgia carryings-on?,2
428,MAUVEGRIFFIN,Purplish game show producer?,2
429,MESAGETABLES,Arizona spa furniture?,2
430,PASSOVERPLOT,"Schonfield book of 1967, with ""The""",2
431,POISONPILLOW,Borgia's downy device?,2
432,POLICEPOLICY,Cop's code?,2
433,SECONDWINDOW,Drive-thru expansion?,2
434,SPRINGSPRINT,April race?,2
435,STONEOFSCONE,One-time seat for Scottish kings,2
436,BARRELOFFOIL,Lots of food wrap?,1
437,CANNERYROWDY,Packing plant ruffian?,1
438,CEMENTATTLEE,Prime minister set in his ways?,1
439,CURRYANDRICE,Tim cooks Thai for Jerry,1
440,HOPEANDFAITH,Bob with Percy at the Optimists' Club,1
441,ILLEGALALINE,Dress that goes against the code?,1
442,ITISVERYBUSY,Part 5 of the quip,1
443,KINGANDQUEEN,Larry beats Ellery with a royal flush,1
444,LANDOFFLAKES,Place where cereal is made?,1
445,LONGANDSHORT,Shelley tells it all to Martin,1
446,MANILAANIMAL,Capital beast?,1
447,MOLARSUPPORT,What an orthodontist might provide,1
448,NASSAUSAUNAS,Capital steam rooms?,1
449,PEASANTVILLE,Film set in a medieval town?,1
450,PILLARTOPOST,Completely,2
451,PIPPISCESSNA,Longstocking's getaway plane?,1
452,RAGSTORICHES,Algeresque extremes,2
453,RAISINBRANDY,Boozer's breakfast?,1
454,SAFARIESCORT,Serengeti guide?,1
455,TENDERMERCIS,Film about a grateful Frenchman?,1
456,THANTHESWORD,Part 3 of the quip,1
457,TWOTELLERSAT,Part 2 of the quip,1
458,VIRGINIAWOOF,"Author of ""To the Doghouse""?",1
459,BAYATTHEMOON,Howl,1
460,BEANIEBABIES,Milliner's collectibles?,1
461,BOOKOFMORMON,Joseph Smith's revelation,1
462,BOWLINGALLEY,Strike setting,1
463,BRANCHOFFICE,Local division,1
464,EXTRASENSORY,Part 2 of the quip,1
465,FLYINGSAUCER,It's out of this world,1
466,HOLYMACKEREL,Exclamation of surprise,1
467,HOODORNAMENT,Milliner's car decoration?,1
468,LICENSEPLATE,It's got your number,1
469,LOBSTERBACKS,Redcoats,1
470,LOSTFORWORDS,Tongue-tied,1
471,QUIETASACLAM,Not saying much,1
472,RIVERPHOENIX,Stand By Me actor,1
473,STAINEDGLASS,"Window material, at times",1
474,STRAITJACKET,Restraint,1
475,TURBANSQUASH,Milliner's favorite gourd?,1
476,UNDERONESHAT,"Confidential, to a milliner?",1
477,WEKNOWYOUARE,Part 6 of the quip,1
478,WHALEOFATIME,Ball,1
479,ABITTOOFARGO,Overly North Dakotan?,1
480,ABSOLUTEZERO,-459.67°F,1
481,BOWLINGALLEY,Strike home?,1
482,CHICKENTUCKY,The Poul-Tree State?,1
483,COMMONISTHAT,Part 4 of the quip,1
484,DISTILLINOIS,The Moonshine State?,1
485,ESCAPEDCONGO,Busted out of Brazzaville?,1
486,FAULTYFINDER,Defective detective?,1
487,GENTLEBREEZE,Zephyr,5
488,HOUSEOFFUNGO,Place for indoor batting practice?,1
489,LAISSEZFAIRE,Economic doctrine,1
490,LEGERDEMAINE,The Don't Show Me State?,1
491,LONGSHOREMAN,JACK LONDON,1
492,MATAHARIZONA,Big Spy Country?,1
493,MYHUSBANDAND,Part 2 of the quip,1
494,OFTHEPOWEROF,Part two of the quip,1
495,ONTHESAMEDAY,End of the quip,1
496,QUARTZANDALL,The whole geode?,1
497,SCREWYDRIVER,Eccentric motorist?,1
498,SMARTASAQUIP,Like wisecracks?,1
499,TAXCOLLECTOR,ROBERT BURNS,1
500,THENITHOUGHT,Part four of the quip,1
501,THEONLYTHING,Start of a quip,1
502,UNDERTHEHOOD,Motor home?,1
503,VINTAGECARGO,"Shipload of Chablis, perhaps?",1
504,ZAMBEZIRIVER,African flower,1
505,ABSENTEEBALL,Party where no one shows up?,1
506,BLACKPROJECT,It's off the record,1
507,BOTTOMDOLLAR,Confident one's bet,1
508,CARRANDSTICK,Singer Vikki with a baton?,1
509,CUSTOMDESIGN,It's built to order,1
510,DRAWINGGROOM,Stable artist?,1
511,EATHUMBLEPIE,Lose face,1
512,FEARLESSLEDA,Head honcho?,1
513,FIDDLEAROUND,Lose time,1
514,FIGHTINGIRIS,College-football team?,1
515,FILLETEDFISH,"Sole, often",1
516,GRADETHEMAKE,"Review for ""Car and Driver?""",1
517,GRANNYSMITHS,Tart apples,1
518,HIDDENAGENDA,It's off the record,1
519,HOMEPASSOVER,End of the quip,1
520,IOSILVERAWAY,Ranger's catchphrase?,1
521,MAXWELLSMART,He was in Control,1
522,MIRACLEMEETS,Faith healers' conventions?,1
523,OBEYEDTHELAW,Was an upstanding citizen,1
524,PENCILPUSHER,Low-level bureaucrat,1
525,POSTGAMESHOW,Sports wrap-up,1
526,POURINGGRAIN,Serving cereal?,1
527,RHEASUNSHINE,Bit of warmth?,1
528,TARGETTHEHIT,Picket a popular show?,1
529,WELCOMETOTHE,Start of a quip,1
530,WINDSORCHAIR,Spindle-backed wooden seat,1
531,YOUWANNABEET,Borscht server's question?,1
532,BURGLARALARM,Security device that can't keep Croft out?,1
533,DENVEROMELET,Brunch option,3
534,DOCTORDALLAS,"1983 comedy, relocated",1
535,DONTQUITONME,Words of encouragement,1
536,FUDGEBROWNIE,Chewy confection,2
537,ITHADTOBEYEW,"Flip side of ""Evergreen""?",1
538,KNOTALLTHERE,Mentally sound unit?,1
539,LANCEALWORTH,San Diego Chargers legend,1
540,LATINILESSON,"Conjugation of esse, e.g.",1
541,MAKEMINEMINK,1960 Terry-Thomas film,1
542,MARTINLOOTER,Criminal religious reformer?,1
